division,disparsity,se,upr,lwr
9,.18516982,.057779726,.29841807,.071921557
6,.093347609,.054745324,.20064844,-.013953226
4,.07679832,.051694039,.17811863,-.024521997
8,.054958701,.059644982,.17186287,-.061945464
7,.051023066,.037749235,.12501156,-.022965433
10,.034323215,.037966765,.10873807,-.040091645
5,.03256321,.034678649,.10053336,-.035406943
2,.019498169,.032525893,.083248921,-.044252582
1,.017801046,.017206205,.051525209,-.015923116
3,.00041508675,.02665337,.052655693,-.05182552
